Category	GeneSet	N_genes	N_overlap	p	FDR	genes	logP	logFDR
DEG.up	Adipose_Subcutaneous	1467	6	0.599489932057064	1	ENSG00000172057:ENSG00000090339:ENSG00000105538:ENSG00000164307:ENSG00000071242:ENSG00000096968	0.222218106124393	0
DEG.up	Adipose_Visceral_Omentum	1433	10	0.0968228802968016	0.466510241430044	ENSG00000095794:ENSG00000073605:ENSG00000172057:ENSG00000090339:ENSG00000105371:ENSG00000105538:ENSG00000115604:ENSG00000173531:ENSG00000164307:ENSG00000164308	1.01402200206694	0.331138817624378
DEG.up	Adrenal_Gland	1936	9	0.496732030960987	1	ENSG00000177628:ENSG00000095794:ENSG00000196502:ENSG00000173209:ENSG00000197457:ENSG00000178252:ENSG00000173531:ENSG00000114738:ENSG00000165688	0.303877834325117	0
DEG.up	Artery_Aorta	1274	5	0.612573577472244	1	ENSG00000169231:ENSG00000132718:ENSG00000225697:ENSG00000213672:ENSG00000096968	0.212841739827	0
DEG.up	Artery_Coronary	1093	4	0.638308497892308	1	ENSG00000169231:ENSG00000225697:ENSG00000213672:ENSG00000096968	0.194969373707168	0
DEG.up	Artery_Tibial	1211	2	0.944993335784942	1	ENSG00000225697:ENSG00000096968	0.0245712541807172	0
DEG.up	Bladder	197	1	0.255892230665686	0.968734873234383	ENSG00000178252	0.59194289985038	0.0137950659278293
DEG.up	Brain_Amygdala	2209	9	0.67037449951876	1	ENSG00000132718:ENSG00000179630:ENSG00000188322:ENSG00000105376:ENSG00000197457:ENSG00000008300:ENSG00000164061:ENSG00000164398:ENSG00000131507	0.173682514259824	0
DEG.up	Brain_Anterior_cingulate_cortex_BA24	2555	10	0.739824026638214	1	ENSG00000132718:ENSG00000188322:ENSG00000105376:ENSG00000065989:ENSG00000197457:ENSG00000008300:ENSG00000213672:ENSG00000164061:ENSG00000164398:ENSG00000131507	0.130871568577593	0
DEG.up	Brain_Caudate_basal_ganglia	2427	9	0.781545303521476	1	ENSG00000132718:ENSG00000179630:ENSG00000188322:ENSG00000105376:ENSG00000197457:ENSG00000008300:ENSG00000164061:ENSG00000164398:ENSG00000131507	0.107045842342007	0
