Category	GeneSet	N_genes	N_overlap	p	FDR	genes	logP	logFDR
DEG.up	Adipose Tissue	1296	4	0.779844838755099	1	ENSG00000172057:ENSG00000090339:ENSG00000105538:ENSG00000164307	0.107991797791175	0
DEG.up	Adrenal Gland	1874	9	0.454121402162014	1	ENSG00000177628:ENSG00000095794:ENSG00000196502:ENSG00000173209:ENSG00000197457:ENSG00000178252:ENSG00000173531:ENSG00000114738:ENSG00000165688	0.342828029872138	0
DEG.up	Bladder	197	1	0.255892230665686	0.697887901815507	ENSG00000178252	0.59194289985038	0.156214330288943
DEG.up	Blood	1689	22	5.38967581139692e-06	5.38967581139692e-05	ENSG00000177628:ENSG00000143622:ENSG00000188906:ENSG00000188603:ENSG00000197272:ENSG00000196502:ENSG00000121281:ENSG00000167207:ENSG00000161405:ENSG00000090339:ENSG00000105371:ENSG00000105397:ENSG00000115604:ENSG00000115607:ENSG00000135899:ENSG00000079263:ENSG00000114316:ENSG00000182179:ENSG00000164308:ENSG00000197208:ENSG00000026297:ENSG00000187796	5.26843735680875	4.26843735680875
DEG.up	Blood Vessel	1025	3	0.756044094036693	1	ENSG00000132718:ENSG00000225697:ENSG00000096968	0.121452874818394	0
DEG.up	Brain	2391	8	0.855552055742519	1	ENSG00000132718:ENSG00000188322:ENSG00000105376:ENSG00000197457:ENSG00000008300:ENSG00000213672:ENSG00000164061:ENSG00000164398	0.0677535608348149	0
DEG.up	Breast	1287	2	0.959047825617877	1	ENSG00000172057:ENSG00000105538	0.018159734973193	0
DEG.up	Cervix Uteri	105	0	1	1		0	0
DEG.up	Colon	1114	8	0.100462364635665	0.334874548785549	ENSG00000116704:ENSG00000119919:ENSG00000188603:ENSG00000197165:ENSG00000073605:ENSG00000176920:ENSG00000225697:ENSG00000181634	0.997996603837878	0.47511785855754
DEG.up	Esophagus	834	1	0.923491425971275	1	ENSG00000176920	0.034567132352217	0
DEG.up	Fallopian Tube	13	0	1	1		0	0
DEG.up	Heart	780	1	0.904198564848965	1	ENSG00000114738	0.0437361866167761	0
DEG.up	Kidney	1402	5	0.704931015112712	1	ENSG00000161179:ENSG00000225697:ENSG00000173531:ENSG00000197375:ENSG00000181634	0.151853381195515	0
DEG.up	Liver	1398	9	0.153948383743961	0.461845151231883	ENSG00000116704:ENSG00000197272:ENSG00000197165:ENSG00000196502:ENSG00000073605:ENSG00000172057:ENSG00000145020:ENSG00000173531:ENSG00000165688	0.812624866259086	0.335503611539423
DEG.up	Lung	2119	19	0.00316699229046025	0.0190019537427615	ENSG00000143622:ENSG00000188906:ENSG00000188603:ENSG00000197165:ENSG00000196502:ENSG00000121281:ENSG00000090339:ENSG00000105371:ENSG00000105376:ENSG00000105397:ENSG00000105538:ENSG00000115604:ENSG00000115607:ENSG00000182179:ENSG00000164308:ENSG00000197536:ENSG00000071242:ENSG00000181634:ENSG00000187796	2.49935299384774	1.7212017434641
DEG.up	Muscle	1048	4	0.600642428583171	1	ENSG00000188322:ENSG00000164068:ENSG00000114738:ENSG00000197375	0.221383993068241	0
DEG.up	Nerve	1741	3	0.978082622084729	1	ENSG00000049246:ENSG00000169231:ENSG00000132718	0.0096244572779552	0
DEG.up	Ovary	2257	15	0.0881232541262423	0.330462202973409	ENSG00000169231:ENSG00000095794:ENSG00000176476:ENSG00000178188:ENSG00000121281:ENSG00000142233:ENSG00000173209:ENSG00000197457:ENSG00000213672:ENSG00000178252:ENSG00000145020:ENSG00000182179:ENSG00000164308:ENSG00000197536:ENSG00000148384	1.05490947403856	0.480878206310839
DEG.up	Pancreas	758	0	1	1		0	0
DEG.up	Pituitary	3165	24	0.00960185148630868	0.0480092574315434	ENSG00000049246:ENSG00000177628:ENSG00000132718:ENSG00000095794:ENSG00000188322:ENSG00000196502:ENSG00000178188:ENSG00000172057:ENSG00000142233:ENSG00000173209:ENSG00000197457:ENSG00000008300:ENSG00000178252:ENSG00000145020:ENSG00000164061:ENSG00000173531:ENSG00000197375:ENSG00000131507:ENSG00000071242:ENSG00000213066:ENSG00000165684:ENSG00000148384:ENSG00000148396:ENSG00000196366	2.01764501563153	1.31867501129551
DEG.up	Prostate	1942	15	0.0283358467241496	0.121439343103498	ENSG00000169231:ENSG00000178188:ENSG00000073605:ENSG00000142233:ENSG00000173209:ENSG00000161179:ENSG00000225697:ENSG00000178252:ENSG00000145020:ENSG00000182179:ENSG00000004534:ENSG00000197375:ENSG00000026297:ENSG00000181634:ENSG00000148396	1.5476638053577	0.915640590652296
DEG.up	Salivary Gland	1078	4	0.62598947078954	1	ENSG00000119919:ENSG00000205592:ENSG00000176920:ENSG00000181634	0.203432971608194	0
DEG.up	Skin	1582	3	0.960291021571792	1	ENSG00000121281:ENSG00000167207:ENSG00000167914	0.0175971316381895	0
DEG.up	Small Intestine	2129	26	2.44486797108647e-06	3.6673019566297e-05	ENSG00000116704:ENSG00000119919:ENSG00000188603:ENSG00000197165:ENSG00000196502:ENSG00000176953:ENSG00000121281:ENSG00000161405:ENSG00000073605:ENSG00000105397:ENSG00000176920:ENSG00000115604:ENSG00000135899:ENSG00000079263:ENSG00000161179:ENSG00000225697:ENSG00000178252:ENSG00000173531:ENSG00000182179:ENSG00000164307:ENSG00000164308:ENSG00000197208:ENSG00000197375:ENSG00000197536:ENSG00000026297:ENSG00000181634	5.61174458888261	4.43565332982693
DEG.up	Spleen	2938	33	5.56164259914497e-07	1.66849277974349e-05	ENSG00000143622:ENSG00000119919:ENSG00000188603:ENSG00000197272:ENSG00000197165:ENSG00000196502:ENSG00000178188:ENSG00000176953:ENSG00000169682:ENSG00000121281:ENSG00000161405:ENSG00000073605:ENSG00000090339:ENSG00000105397:ENSG00000105538:ENSG00000173209:ENSG00000115604:ENSG00000115607:ENSG00000135899:ENSG00000079263:ENSG00000197457:ENSG00000161179:ENSG00000178252:ENSG00000182179:ENSG00000004534:ENSG00000164308:ENSG00000197208:ENSG00000197536:ENSG00000026297:ENSG00000187796:ENSG00000165684:ENSG00000165689:ENSG00000148384	6.25479692309615	4.77767566837649
DEG.up	Stomach	955	3	0.704595079429601	1	ENSG00000073605:ENSG00000176920:ENSG00000225697	0.1520603940586	0
DEG.up	Testis	5819	27	0.618622533291378	1	ENSG00000169231:ENSG00000108094:ENSG00000095794:ENSG00000205592:ENSG00000179630:ENSG00000198156:ENSG00000176476:ENSG00000255524:ENSG00000178188:ENSG00000176953:ENSG00000166164:ENSG00000186075:ENSG00000172057:ENSG00000065989:ENSG00000161180:ENSG00000008300:ENSG00000164061:ENSG00000173531:ENSG00000164068:ENSG00000164398:ENSG00000213066:ENSG00000165684:ENSG00000165689:ENSG00000165688:ENSG00000148384:ENSG00000148396:ENSG00000196366	0.208574264892371	0
DEG.up	Thyroid	2539	23	0.00107397611532512	0.00805482086493843	ENSG00000169231:ENSG00000197165:ENSG00000196502:ENSG00000178188:ENSG00000073605:ENSG00000172057:ENSG00000090339:ENSG00000142233:ENSG00000105538:ENSG00000173209:ENSG00000197457:ENSG00000161179:ENSG00000178252:ENSG00000145020:ENSG00000173531:ENSG00000182179:ENSG00000114738:ENSG00000197536:ENSG00000131507:ENSG00000026297:ENSG00000213066:ENSG00000148384:ENSG00000196366	2.96900537701435	2.09394411362264
DEG.up	Uterus	1740	8	0.499946974231382	1	ENSG00000169231:ENSG00000176476:ENSG00000178188:ENSG00000105538:ENSG00000178252:ENSG00000145020:ENSG00000182179:ENSG00000148384	0.301076055703812	0
DEG.up	Vagina	1265	2	0.955364340945783	1	ENSG00000167207:ENSG00000176920	0.019830972828142	0
DEG.down	Adipose Tissue	920	6	0.171746890219367	0.743768312584288	ENSG00000132718:ENSG00000161179:ENSG00000225697:ENSG00000114738:ENSG00000197208:ENSG00000197375	0.765111117865477	0.128562328212776
