gene	tissue	exp
ENSG00000105376	Adipose_Subcutaneous	0.289864461406242
ENSG00000188322	Adipose_Subcutaneous	0.11470196975588
ENSG00000008300	Adipose_Subcutaneous	0.378912085296778
ENSG00000164061	Adipose_Subcutaneous	0.157431912147342
ENSG00000164398	Adipose_Subcutaneous	0.0860931204170009
ENSG00000115607	Adipose_Subcutaneous	1.04372523419626
ENSG00000188906	Adipose_Subcutaneous	1.8123090002249
ENSG00000164308	Adipose_Subcutaneous	2.54844798349977
ENSG00000197536	Adipose_Subcutaneous	2.00825104912209
ENSG00000188603	Adipose_Subcutaneous	1.72423354345038
ENSG00000115604	Adipose_Subcutaneous	2.32455659488508
ENSG00000121281	Adipose_Subcutaneous	1.69129502586453
ENSG00000197165	Adipose_Subcutaneous	0.52549396788241
ENSG00000213066	Adipose_Subcutaneous	0.981320888013031
ENSG00000197208	Adipose_Subcutaneous	0.896639476080993
ENSG00000187796	Adipose_Subcutaneous	0.981594229295439
ENSG00000079263	Adipose_Subcutaneous	0.352627626719825
ENSG00000161405	Adipose_Subcutaneous	0.156688874659424
ENSG00000142233	Adipose_Subcutaneous	0.356545805003987
ENSG00000186075	Adipose_Subcutaneous	0
ENSG00000198156	Adipose_Subcutaneous	0.255326788414557
ENSG00000161180	Adipose_Subcutaneous	0.434682184819885
ENSG00000181634	Adipose_Subcutaneous	0.0563567541851289
ENSG00000105371	Adipose_Subcutaneous	0.21607671413827
ENSG00000197272	Adipose_Subcutaneous	0.124270759053714
ENSG00000196366	Adipose_Subcutaneous	0.0737933668441359
ENSG00000205592	Adipose_Subcutaneous	0.00182004410721285
ENSG00000162594	Adipose_Subcutaneous	0
ENSG00000255524	Adipose_Subcutaneous	0.0671192365532319
ENSG00000167207	Adipose_Subcutaneous	0.747872504843557
ENSG00000167914	Adipose_Subcutaneous	0.417808796619376
ENSG00000119919	Adipose_Subcutaneous	0
ENSG00000176920	Adipose_Subcutaneous	0.1024997640187
ENSG00000233276	Adipose_Subcutaneous	5.6724253419715
ENSG00000178952	Adipose_Subcutaneous	5.6724253419715
