Category	GeneSet	N_genes	N_overlap	p	FDR	genes	logP	logFDR
DEG.up	Adipose_Subcutaneous	1467	0	1	1		0	0
DEG.up	Adipose_Visceral_Omentum	1433	1	0.778539706486241	1	ENSG00000136634	0.108719232976244	0
DEG.up	Adrenal_Gland	1936	4	0.320107028830769	1	ENSG00000177628:ENSG00000116521:ENSG00000176444:ENSG00000160752	0.494704789620619	0
DEG.up	Artery_Aorta	1274	1	0.718421171524696	1	ENSG00000132718	0.143620877703689	0
DEG.up	Artery_Coronary	1093	0	1	1		0	0
DEG.up	Artery_Tibial	1211	0	1	1		0	0
DEG.up	Bladder	197	0	1	1		0	0
DEG.up	Brain_Amygdala	2209	3	0.635820329406886	1	ENSG00000171735:ENSG00000132718:ENSG00000134376	0.196665590280819	0
DEG.up	Brain_Anterior_cingulate_cortex_BA24	2555	4	0.565082258392833	1	ENSG00000171735:ENSG00000132718:ENSG00000160803:ENSG00000134376	0.247888327816325	0
DEG.up	Brain_Caudate_basal_ganglia	2427	4	0.516437991661585	1	ENSG00000171735:ENSG00000132718:ENSG00000160803:ENSG00000134376	0.286981816440326	0
DEG.up	Brain_Cerebellar_Hemisphere	3810	10	0.101008911222181	1	ENSG00000171735:ENSG00000049246:ENSG00000081019:ENSG00000160767:ENSG00000143630:ENSG00000116539:ENSG00000132718:ENSG00000132680:ENSG00000116584:ENSG00000134376	0.995640310139127	0
DEG.up	Brain_Cerebellum	3807	10	0.100558405680519	1	ENSG00000171735:ENSG00000049246:ENSG00000160767:ENSG00000143630:ENSG00000116539:ENSG00000132718:ENSG00000132680:ENSG00000116584:ENSG00000160803:ENSG00000134376	0.997581620859506	0
DEG.up	Brain_Cortex	2834	4	0.662755769083466	1	ENSG00000171735:ENSG00000132718:ENSG00000160803:ENSG00000134376	0.178646483179614	0
DEG.up	Brain_Frontal_Cortex_BA9	2917	4	0.689189955441477	1	ENSG00000171735:ENSG00000132718:ENSG00000160803:ENSG00000134376	0.161661060777301	0
DEG.up	Brain_Hippocampus	2260	3	0.654529251432437	1	ENSG00000171735:ENSG00000132718:ENSG00000134376	0.184070939713957	0
DEG.up	Brain_Hypothalamus	2694	4	0.61534247949966	1	ENSG00000171735:ENSG00000049247:ENSG00000143630:ENSG00000132718	0.210883102829261	0
DEG.up	Brain_Nucleus_accumbens_basal_ganglia	2578	4	0.573597906853137	1	ENSG00000171735:ENSG00000132718:ENSG00000160803:ENSG00000134376	0.241392442144634	0
DEG.up	Brain_Putamen_basal_ganglia	2086	4	0.380291128484322	1	ENSG00000171735:ENSG00000132718:ENSG00000160803:ENSG00000134376	0.419883805788115	0
DEG.up	Brain_Spinal_cord_cervical_c-1	1787	3	0.461329327830997	1	ENSG00000171735:ENSG00000132718:ENSG00000116584	0.335988935354228	0
DEG.up	Brain_Substantia_nigra	2001	2	0.761669297717938	1	ENSG00000171735:ENSG00000132718	0.118233550118071	0
DEG.up	Breast_Mammary_Tissue	1349	0	1	1		0	0
DEG.up	Cells_EBV-transformed_lymphocytes	3866	8	0.327588972152888	1	ENSG00000198160:ENSG00000162594:ENSG00000081985:ENSG00000081019:ENSG00000134242:ENSG00000160752:ENSG00000143622:ENSG00000136634	0.484670726611743	0
DEG.up	Cells_Transformed_fibroblasts	2264	2	0.833280921528604	1	ENSG00000116704:ENSG00000177628	0.0792085614957215	0
DEG.up	Cervix_Ectocervix	0	0	1	1		0	0
DEG.up	Cervix_Endocervix	7	0	1	1		0	0
DEG.up	Colon_Sigmoid	974	2	0.292258901514617	1	ENSG00000049246:ENSG00000160767	0.534232252382357	0
DEG.up	Colon_Transverse	1453	4	0.14661710426423	1	ENSG00000116704:ENSG00000143630:ENSG00000173080:ENSG00000213047	0.833815362203312	0
DEG.up	Esophagus_Gastroesophageal_Junction	884	1	0.517078622036992	1	ENSG00000049246	0.286443417213988	0
DEG.up	Esophagus_Mucosa	1638	3	0.39405087347884	1	ENSG00000160752:ENSG00000143622:ENSG00000142224	0.404447705471737	0
DEG.up	Esophagus_Muscularis	911	1	0.533549061121365	1	ENSG00000049246	0.272825639979641	0
DEG.up	Fallopian_Tube	13	0	1	1		0	0
DEG.up	Heart_Atrial_Appendage	885	0	1	1		0	0
DEG.up	Heart_Left_Ventricle	809	0	1	1		0	0
DEG.up	Kidney_Cortex	1407	1	0.769508556503398	1	ENSG00000143627	0.113786546694686	0
DEG.up	Liver	1398	3	0.285405453333362	1	ENSG00000116704:ENSG00000143627:ENSG00000160752	0.544537732938399	0
DEG.up	Lung	2119	5	0.22225934091031	1	ENSG00000134242:ENSG00000160752:ENSG00000143622:ENSG00000116584:ENSG00000136634	0.653139977846808	0
DEG.up	Minor_Salivary_Gland	1090	1	0.633289587436495	1	ENSG00000142224	0.198397652594896	0
DEG.up	Muscle_Skeletal	1107	1	0.641889753762441	1	ENSG00000081985	0.192539556735021	0
DEG.up	Nerve_Tibial	1860	6	0.0625212377160978	1	ENSG00000049246:ENSG00000125459:ENSG00000116580:ENSG00000132718:ENSG00000132680:ENSG00000116584	1.2039724329569	0
DEG.up	Ovary	2257	4	0.44928456099565	1	ENSG00000081019:ENSG00000176444:ENSG00000125459:ENSG00000132680	0.34747850504285	0
DEG.up	Pancreas	758	1	0.435700109008056	1	ENSG00000081985	0.360812331407851	0
DEG.up	Pituitary	3165	7	0.261840004250533	1	ENSG00000049246:ENSG00000177628:ENSG00000176444:ENSG00000143630:ENSG00000125459:ENSG00000132718:ENSG00000132680	0.58196400065001	0
DEG.up	Prostate	1942	3	0.528948476411953	1	ENSG00000176444:ENSG00000125459:ENSG00000132680	0.276586629476642	0
DEG.up	Skin_Not_Sun_Exposed_Suprapubic	1966	1	0.907396768516157	1	ENSG00000143630	0.0422027717066565	0
DEG.up	Skin_Sun_Exposed_Lower_leg	1994	2	0.759480610188799	1	ENSG00000116521:ENSG00000143630	0.119483309352878	0
DEG.up	Small_Intestine_Terminal_Ileum	2156	6	0.11625054506074	1	ENSG00000116704:ENSG00000134242:ENSG00000176444:ENSG00000143630:ENSG00000143627:ENSG00000213047	0.934605002168616	0
DEG.up	Spleen	2938	5	0.51543322353172	1	ENSG00000134242:ENSG00000176444:ENSG00000143622:ENSG00000116584:ENSG00000136634	0.287827591350765	0
DEG.up	Stomach	955	0	1	1		0	0
DEG.up	Testis	5819	4	0.995909774556736	1	ENSG00000152763:ENSG00000203963:ENSG00000125459:ENSG00000163374	0.00178000513760504	0
DEG.up	Thyroid	2539	2	0.888329379188874	1	ENSG00000152763:ENSG00000176444	0.0514259744905887	0
DEG.up	Uterus	1740	2	0.669514844573872	1	ENSG00000176444:ENSG00000125459	0.174239789309108	0
DEG.up	Vagina	1265	0	1	1		0	0
DEG.up	Whole_Blood	1559	5	0.0765650360934564	1	ENSG00000134242:ENSG00000177628:ENSG00000143622:ENSG00000116584:ENSG00000136634	1.11596950841216	0
DEG.down	Adipose_Subcutaneous	993	1	0.581310572870047	0.906097607040202	ENSG00000132718	0.235591778028712	0.0428250165442854
DEG.down	Adipose_Visceral_Omentum	955	2	0.28206068004603	0.793845348300285	ENSG00000143630:ENSG00000132718	0.54965745134634	0.100264095710987
DEG.down	Adrenal_Gland	1581	2	0.602684304955925	0.906097607040202	ENSG00000132718:ENSG00000116584	0.219910118238059	0.0428250165442854
DEG.down	Artery_Aorta	1599	1	0.829445831027546	1	ENSG00000143630	0.0812119713683706	0
DEG.down	Artery_Coronary	941	1	0.551421927455878	0.906097607040202	ENSG00000143630	0.258515968038469	0.0428250165442854
DEG.down	Artery_Tibial	1950	1	0.904814340998736	1	ENSG00000116521	0.0434405246086197	0
DEG.down	Bladder	35	0	1	1		0	0
