Category	GeneSet	N_genes	N_overlap	p	FDR	genes	logP	logFDR
DEG.up	Adipose Tissue	1296	1	0.727454577833748	1	ENSG00000136634	0.13819411878468	0
DEG.up	Adrenal Gland	1874	4	0.295685148666354	1	ENSG00000177628:ENSG00000116521:ENSG00000176444:ENSG00000160752	0.529170488169947	0
DEG.up	Bladder	197	0	1	1		0	0
DEG.up	Blood	1689	6	0.0403931430429555	0.696865362183046	ENSG00000081985:ENSG00000134242:ENSG00000177628:ENSG00000143622:ENSG00000116584:ENSG00000136634	1.39369235249715	0.156851121628215
DEG.up	Blood Vessel	1025	1	0.599004673359187	1	ENSG00000132718	0.222569789286499	0
DEG.up	Brain	2391	4	0.502421240595761	1	ENSG00000171735:ENSG00000143630:ENSG00000132718:ENSG00000134376	0.298932008445751	0
DEG.up	Breast	1287	0	1	1		0	0
DEG.up	Cervix Uteri	105	0	1	1		0	0
DEG.up	Colon	1114	1	0.645386909512684	1	ENSG00000116704	0.190179847708164	0
DEG.up	Esophagus	834	0	1	1		0	0
DEG.up	Fallopian Tube	13	0	1	1		0	0
DEG.up	Heart	780	0	1	1		0	0
DEG.up	Kidney	1402	1	0.767737082149627	1	ENSG00000143627	0.114787482209325	0
DEG.up	Liver	1398	3	0.285405453333362	1	ENSG00000116704:ENSG00000143627:ENSG00000160752	0.544537732938399	0
DEG.up	Lung	2119	5	0.22225934091031	1	ENSG00000134242:ENSG00000160752:ENSG00000143622:ENSG00000116584:ENSG00000136634	0.653139977846808	0
DEG.up	Muscle	1048	1	0.611390431700897	1	ENSG00000081985	0.213681362292982	0
DEG.up	Nerve	1741	6	0.0464576908122031	0.696865362183046	ENSG00000049246:ENSG00000125459:ENSG00000116580:ENSG00000132718:ENSG00000132680:ENSG00000116584	1.3329423806839	0.156851121628215
DEG.up	Ovary	2257	4	0.44928456099565	1	ENSG00000081019:ENSG00000176444:ENSG00000125459:ENSG00000132680	0.34747850504285	0
DEG.up	Pancreas	758	1	0.435700109008056	1	ENSG00000081985	0.360812331407851	0
DEG.up	Pituitary	3165	7	0.261840004250533	1	ENSG00000049246:ENSG00000177628:ENSG00000176444:ENSG00000143630:ENSG00000125459:ENSG00000132718:ENSG00000132680	0.58196400065001	0
DEG.up	Prostate	1942	3	0.528948476411953	1	ENSG00000176444:ENSG00000125459:ENSG00000132680	0.276586629476642	0
DEG.up	Salivary Gland	1078	1	0.627127421669023	1	ENSG00000142224	0.202644208921396	0
DEG.up	Skin	1582	0	1	1		0	0
DEG.up	Small Intestine	2129	6	0.110530403587186	1	ENSG00000116704:ENSG00000134242:ENSG00000176444:ENSG00000143630:ENSG00000143627:ENSG00000213047	0.956518244205551	0
DEG.up	Spleen	2938	5	0.51543322353172	1	ENSG00000134242:ENSG00000176444:ENSG00000143622:ENSG00000116584:ENSG00000136634	0.287827591350765	0
DEG.up	Stomach	955	0	1	1		0	0
DEG.up	Testis	5819	4	0.995909774556736	1	ENSG00000152763:ENSG00000203963:ENSG00000125459:ENSG00000163374	0.00178000513760504	0
DEG.up	Thyroid	2539	2	0.888329379188874	1	ENSG00000152763:ENSG00000176444	0.0514259744905887	0
DEG.up	Uterus	1740	2	0.669514844573872	1	ENSG00000176444:ENSG00000125459	0.174239789309108	0
DEG.up	Vagina	1265	0	1	1		0	0
DEG.down	Adipose Tissue	920	1	0.538958608811016	1	ENSG00000132718	0.268444586678235	0
