gene	tissue	exp
ENSG00000143630:HCN3	Adipose_Subcutaneous	1.12234830006058
ENSG00000213047:DENND1B	Adipose_Subcutaneous	0.966888488921315
ENSG00000134242:PTPN22	Adipose_Subcutaneous	0.865456454333722
ENSG00000136634:IL10	Adipose_Subcutaneous	0.806169398183539
ENSG00000143627:PKLR	Adipose_Subcutaneous	0.0127224296443987
ENSG00000152763:WDR78	Adipose_Subcutaneous	0.506707406057548
ENSG00000134376:CRB1	Adipose_Subcutaneous	0.0310178842847105
ENSG00000081985:IL12RB2	Adipose_Subcutaneous	0.415157607736564
ENSG00000203963:C1orf141	Adipose_Subcutaneous	0
ENSG00000162594:IL23R	Adipose_Subcutaneous	0
ENSG00000173080:RXFP4	Adipose_Subcutaneous	0.0404747214512406
ENSG00000049245:VAMP3	Adipose_Subcutaneous	5.6724253419715
ENSG00000163479:SSR2	Adipose_Subcutaneous	5.6724253419715
ENSG00000176444:CLK2	Adipose_Subcutaneous	4.24867370266615
ENSG00000132680:KIAA0907	Adipose_Subcutaneous	3.98496783950006
ENSG00000160803:UBQLN4	Adipose_Subcutaneous	3.95935767441855
ENSG00000163374:YY1AP1	Adipose_Subcutaneous	4.67697807774233
ENSG00000116521:SCAMP3	Adipose_Subcutaneous	4.53424941569394
ENSG00000160752:FDPS	Adipose_Subcutaneous	4.65241873151147
ENSG00000132718:SYT11	Adipose_Subcutaneous	2.59851052354823
ENSG00000116704:SLC35D1	Adipose_Subcutaneous	1.99164793216106
ENSG00000081019:RSBN1	Adipose_Subcutaneous	2.48407939399356
ENSG00000125459:MSTO1	Adipose_Subcutaneous	2.84189313331888
ENSG00000198160:MIER1	Adipose_Subcutaneous	2.85424578518693
ENSG00000116580:GON4L	Adipose_Subcutaneous	2.99944168744058
ENSG00000171735:CAMTA1	Adipose_Subcutaneous	1.81126467454834
ENSG00000049246:PER3	Adipose_Subcutaneous	2.69572593051117
ENSG00000116584:ARHGEF2	Adipose_Subcutaneous	4.21118893985206
ENSG00000160767:FAM189B	Adipose_Subcutaneous	3.32363470595234
ENSG00000116539:ASH1L	Adipose_Subcutaneous	3.27826971095531
ENSG00000177628:GBA	Adipose_Subcutaneous	3.28652481944291
ENSG00000143622:RIT1	Adipose_Subcutaneous	3.22068061170385
ENSG00000143630:HCN3	Adipose_Visceral_Omentum	1.01254568774276
ENSG00000213047:DENND1B	Adipose_Visceral_Omentum	0.767432883649221
ENSG00000134242:PTPN22	Adipose_Visceral_Omentum	1.11438185430824
ENSG00000136634:IL10	Adipose_Visceral_Omentum	1.72867775821856
ENSG00000143627:PKLR	Adipose_Visceral_Omentum	0.0143275966400242
ENSG00000152763:WDR78	Adipose_Visceral_Omentum	0.390076895640413
ENSG00000134376:CRB1	Adipose_Visceral_Omentum	0.0173601468300402
ENSG00000081985:IL12RB2	Adipose_Visceral_Omentum	0.532280086494718
ENSG00000203963:C1orf141	Adipose_Visceral_Omentum	0
ENSG00000162594:IL23R	Adipose_Visceral_Omentum	0
ENSG00000173080:RXFP4	Adipose_Visceral_Omentum	0.0738807556174299
ENSG00000049245:VAMP3	Adipose_Visceral_Omentum	5.6724253419715
ENSG00000163479:SSR2	Adipose_Visceral_Omentum	5.6724253419715
ENSG00000176444:CLK2	Adipose_Visceral_Omentum	4.25343332850901
ENSG00000132680:KIAA0907	Adipose_Visceral_Omentum	3.62301920737573
ENSG00000160803:UBQLN4	Adipose_Visceral_Omentum	3.83132096912276
ENSG00000163374:YY1AP1	Adipose_Visceral_Omentum	4.54306852909312
ENSG00000116521:SCAMP3	Adipose_Visceral_Omentum	4.48886260690193
ENSG00000160752:FDPS	Adipose_Visceral_Omentum	4.43090947259826
ENSG00000132718:SYT11	Adipose_Visceral_Omentum	2.49047302858921
