Category	GeneSet	N_genes	N_overlap	p	FDR	genes	logP	logFDR
DEG.up	Adipose_Subcutaneous	1467	5	0.00614861805133916	0.0543127927868293	ENSG00000188641:ENSG00000117335:ENSG00000133687:ENSG00000123384:ENSG00000124212	2.21122248424398	1.26509786502684
DEG.up	Adipose_Visceral_Omentum	1433	5	0.005481802807541	0.0543127927868293	ENSG00000188641:ENSG00000133687:ENSG00000123384:ENSG00000124212:ENSG00000138821	2.2610765910397	1.26509786502684
DEG.up	Adrenal_Gland	1936	1	0.691153379646948	0.833194649651605	ENSG00000117335	0.160425563996927	0.0792535275315946
DEG.up	Artery_Aorta	1274	5	0.00305381548294881	0.044401627618165	ENSG00000151067:ENSG00000133687:ENSG00000123384:ENSG00000124212:ENSG00000144619	2.51515720734445	1.35260110978106
DEG.up	Artery_Coronary	1093	5	0.00139528134856437	0.044401627618165	ENSG00000151067:ENSG00000133687:ENSG00000123384:ENSG00000124212:ENSG00000144619	2.85533821116531	1.35260110978106
DEG.up	Artery_Tibial	1211	5	0.00236229234663868	0.044401627618165	ENSG00000151067:ENSG00000133687:ENSG00000123384:ENSG00000124212:ENSG00000144619	2.62666635707162	1.35260110978106
DEG.up	Bladder	197	0	1	1		0	0
DEG.up	Brain_Amygdala	2209	3	0.268152196501264	0.50757380052025	ENSG00000183454:ENSG00000182600:ENSG00000132563	0.571618641272341	0.294500803013771
DEG.up	Brain_Anterior_cingulate_cortex_BA24	2555	4	0.181288691124572	0.417752201287057	ENSG00000183454:ENSG00000182600:ENSG00000132563:ENSG00000120903	0.741629286557436	0.37908125297424
DEG.up	Brain_Caudate_basal_ganglia	2427	3	0.329851543163037	0.546316618363779	ENSG00000183454:ENSG00000182600:ENSG00000132563	0.481681479794461	0.262555588513578
DEG.up	Brain_Cerebellar_Hemisphere	3810	3	0.700166875995629	0.833194649651605	ENSG00000183454:ENSG00000144619:ENSG00000132563	0.154798439004567	0.0792535275315946
DEG.up	Brain_Cerebellum	3807	4	0.492081047375663	0.672687672189616	ENSG00000123384:ENSG00000183454:ENSG00000144619:ENSG00000132563	0.307963361604153	0.172186531212815
DEG.up	Brain_Cortex	2834	4	0.243778494714066	0.478528156290575	ENSG00000183454:ENSG00000182600:ENSG00000132563:ENSG00000120903	0.613004608967658	0.320092503525856
DEG.up	Brain_Frontal_Cortex_BA9	2917	5	0.12248019340481	0.350768146305049	ENSG00000183454:ENSG00000182600:ENSG00000144619:ENSG00000132563:ENSG00000120903	0.911934136527828	0.454979852341523
DEG.up	Brain_Hippocampus	2260	3	0.28235849510036	0.516034491045485	ENSG00000183454:ENSG00000182600:ENSG00000132563	0.549199141450356	0.287321269748523
DEG.up	Brain_Hypothalamus	2694	2	0.64698747961019	0.833194649651605	ENSG00000182600:ENSG00000132563	0.189104123641684	0.0792535275315946
DEG.up	Brain_Nucleus_accumbens_basal_ganglia	2578	3	0.373584555600331	0.565713755623358	ENSG00000183454:ENSG00000182600:ENSG00000132563	0.427611086286154	0.24740326103564
DEG.up	Brain_Putamen_basal_ganglia	2086	3	0.23467233393684	0.478370526871251	ENSG00000183454:ENSG00000182600:ENSG00000132563	0.62953810736259	0.320235585732619
DEG.up	Brain_Spinal_cord_cervical_c-1	1787	2	0.363107121968328	0.565713755623358	ENSG00000182600:ENSG00000132563	0.439965232769256	0.24740326103564
DEG.up	Brain_Substantia_nigra	2001	2	0.435660147892146	0.62405372535902	ENSG00000182600:ENSG00000132563	0.360852165430588	0.204778019896794
DEG.up	Breast_Mammary_Tissue	1349	4	0.0192635821648633	0.125775573117731	ENSG00000117335:ENSG00000133687:ENSG00000123384:ENSG00000182600	1.71526295034867	0.900403695061241
DEG.up	Cells_EBV-transformed_lymphocytes	3866	4	0.507185142211017	0.672687672189616	ENSG00000137841:ENSG00000239713:ENSG00000163634:ENSG00000138821	0.294833477425775	0.172186531212815
DEG.up	Cells_Transformed_fibroblasts	2264	4	0.124788863294916	0.350768146305049	ENSG00000188641:ENSG00000133687:ENSG00000123384:ENSG00000138821	0.903824171267203	0.454979852341523
DEG.up	Cervix_Ectocervix	0	0	1	1		0	0
DEG.up	Cervix_Endocervix	7	0	1	1		0	0
