Category	GeneSet	N_genes	N_overlap	p	FDR	genes	logP	logFDR
DEG.up	Adipose Tissue	1296	5	0.00332837414061494	0.0499256121092241	ENSG00000188641:ENSG00000133687:ENSG00000123384:ENSG00000124212:ENSG00000138821	2.47776786084537	1.30167660178968
DEG.up	Adrenal Gland	1874	1	0.673006578420411	0.877834667504884	ENSG00000117335	0.171980690667968	0.0565872719658984
DEG.up	Bladder	197	0	1	1		0	0
DEG.up	Blood	1689	3	0.137510789039107	0.343986283055045	ENSG00000188641:ENSG00000137841:ENSG00000239713	0.861663225933149	0.463458875196716
DEG.up	Blood Vessel	1025	5	0.000998454367591619	0.0299536310277486	ENSG00000151067:ENSG00000133687:ENSG00000123384:ENSG00000124212:ENSG00000144619	3.00067177892149	1.52355052420183
DEG.up	Brain	2391	3	0.319511622458596	0.532519370764328	ENSG00000183454:ENSG00000182600:ENSG00000132563	0.495513339452908	0.273664589836552
DEG.up	Breast	1287	3	0.0634714631705198	0.321364789692071	ENSG00000117335:ENSG00000133687:ENSG00000182600	1.19742149003395	0.493001708406909
DEG.up	Cervix Uteri	105	0	1	1		0	0
DEG.up	Colon	1114	2	0.145431444822462	0.343986283055045	ENSG00000019102:ENSG00000151067	0.837341681259607	0.463458875196716
DEG.up	Esophagus	834	1	0.263748708642618	0.494528828704909	ENSG00000151067	0.578809658066793	0.305808386003055
DEG.up	Fallopian Tube	13	0	1	1		0	0
DEG.up	Heart	780	2	0.0642729579384142	0.321364789692071	ENSG00000151067:ENSG00000161896	1.19197171274293	0.493001708406909
DEG.up	Kidney	1402	0	1	1		0	0
DEG.up	Liver	1398	1	0.50768880919971	0.725269727428158	ENSG00000161896	0.294402409485642	0.139500449499899
DEG.up	Lung	2119	6	0.00931884450839899	0.0931884450839899	ENSG00000188641:ENSG00000117335:ENSG00000019102:ENSG00000123384:ENSG00000137841:ENSG00000138821	2.03063793472078	1.03063793472078
DEG.up	Muscle	1048	2	0.12726999310244	0.343986283055045	ENSG00000256053:ENSG00000161896	0.895273979427171	0.463458875196716
