interval	label	nSNPs	size	nGenes	nWithinGene
1	1:7822723-7906008	23	83285	1	4
2	1:67362595-67766926	262	404331	2	5
3	1:114303808-114377568	2	73760	0	2
4	1:155199315-156016356	308	817041	4	20
5	1:172807254-172871681	52	64427	0	0
6	1:197342686-197784249	61	441563	0	2
7	1:206939904-206968955	7	29051	0	1
8	2:25488819-25506107	9	17288	0	1
9	2:61186829-61231014	25	44185	1	1
10	2:102917234-103188785	305	271551	2	4
11	2:231083171-231171423	42	88252	2	2
12	2:234142691-234303405	208	160714	0	3
13	3:48446237-50209053	738	1762816	14	57
14	5:40288878-40899159	704	610281	0	5
15	5:96200770-96373750	257	172980	2	2
16	5:129776565-131835395	394	2058830	4	15
17	5:141435466-141542709	110	107243	1	1
18	5:150169843-150338714	236	168871	1	3
19	5:158764177-158944085	87	179908	0	0
20	6:20640871-20835260	23	194389	0	1
21	6:106435025-106442096	4	7071	0	0
22	6:167360389-167544278	370	183889	3	3
23	7:50257634-50323174	25	65540	0	0
24	7:153451274-153497853	100	46579	0	0
25	8:126529074-126565413	20	36339	0	0
26	9:4981602-5268264	429	286662	1	3
27	9:117538334-117692882	37	154548	1	2
28	9:139257147-139403280	169	146133	8	9
29	10:35268132-35554054	314	285922	2	3
30	10:64387108-64629705	186	242597	0	3
31	10:81042475-81067480	15	25005	0	1
32	10:101271789-101327851	98	56062	1	1
33	11:76270683-76302073	21	31390	0	0
34	12:40337163-40385118	8	47955	0	1
35	12:40388109-40986579	497	598470	2	3
36	13:44413467-44490181	25	76714	1	2
37	14:88404343-88506864	25	102521	0	2
38	15:67437863-67468285	23	30422	0	1
39	16:28298418-28919341	346	620923	14	20
40	16:50339668-50845533	182	505865	3	6
41	17:32516704-32640025	53	123321	0	3
42	17:37903731-38089717	113	185986	5	4
43	17:40568094-40690118	58	122024	1	3
44	18:12744692-12886441	81	141749	0	1
45	19:1106477-1128312	11	21835	0	2
46	19:10408439-10602180	56	193741	5	8
47	19:49168942-49250239	68	81297	3	5
48	20:62198236-62387417	181	189181	2	12
49	21:16784168-16841303	76	57135	0	0
50	21:45611686-45633388	29	21702	0	0
51	22:21910280-21985094	95	74814	3	2
52	22:30269907-30592487	27	322580	0	2
53	22:39659773-39735087	10	75314	0	1
