ensg	symbol	hgnc	entrezID	chr	start	end	strand	status	type	HUGO	codingSNPs	coding.max.CADD	eqtl	eqtl.minP	eqtl.minQ	leadSNPs	LID
ENSG00000049246	PER3	PER3	8863	1	7844380	7905237	1	KNOWN	protein_coding	PER3	1	12.65	0	NA	NA	rs2797685	1
ENSG00000116704	SLC35D1	SLC35D1	23169	1	67465015	67519782	-1	KNOWN	protein_coding	SLC35D1	0	0	20	1.19907e-10	0.00033387446	rs12061545:rs12041056:rs11209018	2:3
ENSG00000162594	IL23R	IL23R	149233	1	67632083	67725662	1	KNOWN	protein_coding	IL23R	2	32	0	NA	NA	rs12041056:rs11209018:rs11209026	3:4
ENSG00000169231	THBS3	THBS3	7059	1	155165379	155178842	-1	KNOWN	protein_coding	THBS3	0	0	227	2.17655e-16	0.00033387446	rs1142287:rs821551:rs867549	6
ENSG00000160766	GBAP1	GBAP1	2630	1	155183616	155197214	-1	KNOWN	pseudogene	GBAP1	0	0	214	2.31988e-12	0.000674021	rs1142287:rs821551:rs867549	6
ENSG00000177628	GBA	GBA	2629	1	155204243	155214490	-1	KNOWN	protein_coding	GBA	0	0	248	4.04997e-17	0.00033387446	rs1142287:rs821551:rs867549	6
ENSG00000203761	MSTO2P	MSTO2P	100129405	1	155581011	155720105	1	KNOWN	pseudogene	MSTO2P	0	0	144	4.57583e-09	0.000674021	rs1142287:rs821551:rs867549	6
ENSG00000132718	SYT11	SYT11	23208	1	155829300	155854990	1	KNOWN	protein_coding	SYT11	0	0	3	1.44415e-05	0.047962867	rs867549	6
ENSG00000151414	NEK7	NEK7	140609	1	198126093	198291550	1	KNOWN	protein_coding	NEK7	0	0	2	4.41575e-06	0.031586148	rs1998598	8
ENSG00000173209	AHSA2	AHSA2	130872	2	61404553	61418338	1	KNOWN	protein_coding	AHSA2	0	0	25	1.51072e-18	0.00033387446	rs10181042	11
ENSG00000115604	IL18R1	IL18R1	8809	2	102927989	103015218	1	KNOWN	protein_coding	IL18R1	0	0	39	4.66803e-06	0.00090001296	rs2058660	12
ENSG00000115607	IL18RAP	IL18RAP	8807	2	103035149	103069025	1	KNOWN	protein_coding	IL18RAP	0	0	269	1.63446e-31	0.00033387446	rs12712135:rs2058660:rs6724109	12
ENSG00000252010	SCARNA5	SCARNA5	677775	2	234184373	234184648	1	KNOWN	snoRNA	SCARNA5	1	17.12	0	NA	NA	rs3792109	14
ENSG00000225697	SLC26A6	SLC26A6	65010	3	48663156	48672926	-1	KNOWN	protein_coding	SLC26A6	1	25.6	0	NA	NA	rs11719291	15
ENSG00000008300	CELSR3	CELSR3	1951	3	48673902	48700348	-1	KNOWN	protein_coding	CELSR3	2	21.9	0	NA	NA	rs11719291	15
ENSG00000213672	NCKIPSD	NCKIPSD	51517	3	48701364	48723797	-1	KNOWN	protein_coding	NCKIPSD	0	0	81	2.05694e-09	0.00033387446	rs11719291:rs3924462:rs3749237	15
ENSG00000224424	PRKAR2A-AS1	PRKAR2A-AS1	100506637	3	48885005	48889414	1	NOVEL	antisense	PRKAR2A-AS1	1	16.07	0	NA	NA	rs11719291	15
ENSG00000178252	WDR6	WDR6	11180	3	49044495	49053386	1	KNOWN	protein_coding	WDR6	0	0	282	7.76199e-13	0.00033387446	rs11719291:rs3924462:rs3749237	15
ENSG00000172046	USP19	USP19	10869	3	49145479	49158371	-1	KNOWN	protein_coding	USP19	1	25.4	0	NA	NA	rs11719291	15
ENSG00000114316	USP4	USP4	7375	3	49315264	49378145	-1	KNOWN	protein_coding	USP4	1	13.72	0	NA	NA	rs4410472	15
ENSG00000233276	GPX1	GPX1	2876	3	49394609	49396033	-1	KNOWN	protein_coding	GPX1	1	19.43	16	1.24772e-05	0.028349781	rs3197999:rs2240326	15
ENSG00000145020	AMT	AMT	275	3	49454211	49460186	-1	KNOWN	protein_coding	AMT	1	16.22	135	6.40869e-11	0.00033387446	rs3924462:rs3197999:rs3749237	15
ENSG00000164061	BSN	BSN	8927	3	49591922	49708978	1	KNOWN	protein_coding	BSN	1	16.61	0	NA	NA	rs3197999	15
ENSG00000173531	MST1	MST1	4485	3	49721380	49726934	-1	KNOWN	protein_coding	MST1	2	25.5	0	NA	NA	rs3197999	15
ENSG00000164068	RNF123	RNF123	63891	3	49726932	49758962	1	KNOWN	protein_coding	RNF123	2	14.39	66	5.33179e-08	0.00092470547	rs3749237:rs2352974	15
ENSG00000182179	UBA7	UBA7	7318	3	49842640	49851379	-1	KNOWN	protein_coding	UBA7	0	0	394	5.89048e-22	0.00033387446	rs3197999:rs3749237:rs2352974:rs2240326	15
ENSG00000263506	MIR5193	MIR5193	100847079	3	49843570	49843678	-1	KNOWN	miRNA	MIR5193	0	0	2	2.11208e-05	0.029493108	rs2352974	15
ENSG00000164076	CAMKV	CAMKV	79012	3	49895421	49907655	-1	KNOWN	protein_coding	CAMKV	1	23.9	66	4.05921e-09	0.00092470547	rs3749237:rs2240326	15
ENSG00000004534	RBM6	RBM6	10180	3	49977440	50137478	1	KNOWN	protein_coding	RBM6	0	0	402	0	0.00033387446	rs4410472:rs3924462:rs3197999:rs3749237:rs2352974:rs2240326	15
ENSG00000114738	MAPKAPK3	MAPKAPK3	7867	3	50648951	50686720	1	KNOWN	protein_coding	MAPKAPK3	0	0	1	2.52337e-05	0.00033387446	rs2352974:rs2240326	15
ENSG00000164307	ERAP1	ERAP1	51752	5	96096521	96143803	-1	KNOWN	protein_coding	ERAP1	0	0	4	1.20416e-06	0.00033387446	rs2549794	18
ENSG00000164308	ERAP2	ERAP2	64167	5	96211643	96255420	1	KNOWN	protein_coding	ERAP2	3	15.73	247	0	0.00033387446	rs2549794:rs18059	18
ENSG00000164398	ACSL6	ACSL6	23305	5	131142683	131347936	-1	KNOWN	protein_coding	ACSL6	0	0	70	4.62583e-07	0.0011041145	rs11743851:rs17674015:rs3749756:rs7705189:rs2073643:rs12521868	19
ENSG00000197208	SLC22A4	SLC22A4	6583	5	131630136	131679899	1	KNOWN	protein_coding	SLC22A4	1	12.57	0	NA	NA	rs11242110	19
ENSG00000197375	SLC22A5	SLC22A5	6584	5	131705444	131731306	1	KNOWN	protein_coding	SLC22A5	0	0	225	1.16533e-21	0.00033387446	rs11743851:rs11746464:rs17674015:rs3749756:rs7705189:rs156109:rs2073643:rs6897597:rs11242110:rs2285673:rs12521868:rs11745587:rs2548993	19
ENSG00000197536	C5orf56	C5orf56	441108	5	131746328	131811736	1	KNOWN	protein_coding	C5orf56	0	0	19	3.28241e-07	0.0017031708	rs2070727	19
ENSG00000131507	NDFIP1	NDFIP1	80762	5	141488070	141534005	1	KNOWN	protein_coding	NDFIP1	0	0	57	4.94815e-07	0.0100147175	rs11739961	20
ENSG00000237693	IRGM	IRGM	345611	5	150226085	150280298	1	KNOWN	protein_coding	IRGM	0	0	108	2.15257e-08	0.00033387446	rs9324656:rs7714584	21
ENSG00000197083	ZNF300P1	ZNF300P1	134466	5	150310207	150325851	-1	KNOWN	pseudogene	ZNF300P1	0	0	227	1.2771e-34	0.000674021	rs9324656:rs7714584	21
ENSG00000214894	LINC00243	LINC00243	401247	6	30766431	30798436	-1	KNOWN	processed_transcript	LINC00243	0	0	3	8.43009e-08	0.00033387446	rs2523554	27
ENSG00000204540	PSORS1C1	PSORS1C1	170679	6	31082527	31107869	1	KNOWN	protein_coding	PSORS1C1	0	0	74	2.04768e-13	0.000674021	rs2249742:rs2853926:rs9264942:rs2523554	27
ENSG00000204538	PSORS1C2	PSORS1C2	170680	6	31105313	31107127	-1	KNOWN	protein_coding	PSORS1C2	0	0	74	2.67305e-12	0.000674021	rs2249742:rs2853926:rs9264942:rs2523554	27
ENSG00000204528	PSORS1C3	PSORS1C3	100130889	6	31141512	31145676	-1	KNOWN	sense_intronic	PSORS1C3	0	0	1	6.0088e-06	0.00033387446	rs2853926	27
ENSG00000206344	HCG27	HCG27	253018	6	31165537	31171745	1	KNOWN	protein_coding	HCG27	0	0	3	3.68767e-07	0.00033387446	rs2249742:rs2523554	27
ENSG00000204525	HLA-C	HLA-C	3107	6	31236526	31239907	-1	KNOWN	protein_coding	HLA-C	1	24.5	206	2.10433e-33	0.00033387446	rs2249742:rs2524049:rs2853926:rs9264942:rs2523554	27
ENSG00000214892	USP8P1	USP8P1	100287272	6	31243349	31246531	1	KNOWN	pseudogene	USP8P1	1	14.56	0	NA	NA	rs2853926	27
ENSG00000234745	HLA-B	HLA-B	3106	6	31321649	31324965	-1	KNOWN	protein_coding	HLA-B	0	0	10	6.2628e-19	0.00033387446	rs2249742:rs2523554	27
