GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P
ENSG00000131591	1	1017198	1051741	11	4	17500	0.15842	0.43706
ENSG00000162571	1	1109264	1133315	5	2	17500	2.283	0.011216
ENSG00000186891	1	1138888	1142071	2	1	17500	4.2334	1.1509e-05
ENSG00000078808	1	1152288	1167411	6	2	17500	3.7937	7.4201e-05
ENSG00000160087	1	1189289	1209265	6	2	17500	3.4806	0.00025015
ENSG00000205090	1	1470554	1475833	1	1	17500	1.7507	0.04
ENSG00000160075	1	1477053	1510249	11	2	17500	1.7404	0.040897
ENSG00000008130	1	1682671	1711896	2	1	17500	2.8191	0.0024076
ENSG00000078369	1	1716729	1822495	13	2	17500	3.429	0.00030292
ENSG00000169885	1	1846266	1848735	1	1	17500	2.9112	0.0018
ENSG00000142609	1	1853396	1935276	6	2	17500	2.6802	0.003679
ENSG00000067606	1	1981909	2116834	40	5	17500	0.98995	0.1611
ENSG00000162585	1	2115903	2144159	5	2	17500	0.15803	0.43722
ENSG00000157933	1	2160134	2241558	18	6	17500	-0.75096	0.77366
ENSG00000116151	1	2252692	2323146	23	7	17500	0.79438	0.21349
ENSG00000157916	1	2323267	2336883	5	2	17500	-0.23462	0.59275
ENSG00000157911	1	2336236	2345236	2	1	17500	-0.43221	0.6672
ENSG00000149527	1	2357419	2436969	15	7	17500	1.0257	0.15251
ENSG00000157881	1	2439972	2458039	7	2	17500	1.6177	0.052859
ENSG00000157873	1	2487078	2496821	3	1	17500	1.8606	0.031401
ENSG00000157870	1	2517930	2522908	1	1	17500	2.4422	0.0073
ENSG00000142606	1	2522078	2564481	14	2	17500	0.3153	0.37627
ENSG00000215912	1	2567415	2718286	3	2	17500	0.66274	0.25375
ENSG00000169717	1	2938046	2939465	2	1	17500	0.96715	0.16673
ENSG00000177133	1	2976179	2985001	1	1	17500	1.5301	0.063
ENSG00000142611	1	2985732	3355185	142	47	17500	1.3314	0.091525
ENSG00000130762	1	3370990	3397677	8	2	17500	-0.79901	0.78786
ENSG00000162591	1	3406484	3528059	17	6	17500	-0.39993	0.65539
ENSG00000158109	1	3541566	3546691	4	1	17500	0.74582	0.22789
ENSG00000116213	1	3547331	3569325	3	2	17500	0.9533	0.17022
ENSG00000078900	1	3569084	3652765	14	6	17500	-0.20932	0.5829
ENSG00000227372	1	3652548	3663900	3	1	17500	0.68444	0.24685
ENSG00000162592	1	3668962	3688209	10	5	17500	-0.08781	0.53499
ENSG00000235169	1	3689352	3692546	2	1	17500	0.56749	0.28519
ENSG00000130764	1	3696784	3713068	8	3	17500	-0.17057	0.56772
ENSG00000116198	1	3728645	3773778	28	6	17500	-0.75252	0.77413
ENSG00000169598	1	3773845	3801993	4	2	17500	-2.0415	0.9794
ENSG00000198912	1	3805689	3816857	5	2	17500	-0.39821	0.65476
ENSG00000236423	1	3816936	3833789	3	1	17500	-0.20886	0.58272
ENSG00000196581	1	4714792	4852594	86	27	17500	0.081961	0.46734
ENSG00000131697	1	5922871	6052533	67	8	17500	0.62531	0.26588
ENSG00000069424	1	6051526	6161253	21	5	17500	1.9463	0.025811
ENSG00000116254	1	6161853	6240183	21	5	17500	-0.99828	0.84093
ENSG00000116251	1	6241329	6269449	4	1	17500	1.6611	0.048351
ENSG00000158286	1	6265535	6281359	1	1	17500	-1.8808	0.97
ENSG00000116237	1	6281253	6296032	3	1	17500	-1.3154	0.90582
ENSG00000158292	1	6307406	6321035	3	1	17500	1.7911	0.036642
ENSG00000097021	1	6324329	6454451	25	5	17500	3.0767	0.0010466
ENSG00000069812	1	6472478	6484730	7	2	17500	0.080665	0.46785
ENSG00000187017	1	6484848	6521430	3	1	17500	2.4909	0.0063706
ENSG00000215788	1	6521211	6526255	1	1	17500	1.3408	0.09
ENSG00000171680	1	6526152	6580121	11	4	17500	0.55389	0.28983
ENSG00000162408	1	6581407	6614595	10	1	17500	-1.0674	0.8571
ENSG00000173662	1	6615241	6639817	3	1	17500	-0.55672	0.71114
ENSG00000204859	1	6640061	6649340	1	1	17500	0.99446	0.16
ENSG00000162413	1	6650784	6674667	8	3	17500	0.41568	0.33882
ENSG00000116273	1	6673745	6684093	5	2	17500	-0.15877	0.56307
ENSG00000041988	1	6684926	6695646	6	2	17500	-0.20929	0.58289
ENSG00000007923	1	6694228	6761984	27	5	17500	0.5688	0.28475
ENSG00000171735	1	6845384	7829766	416	94	17500	1.1307	0.1291
