chr	bp	p
1	1135242	0.00015
1	1140435	1.4e-05
1	1163804	6.1e-05
1	1165310	8.9e-05
1	1194804	9e-06
1	1497201	0.057
1	1723031	0.0003
1	1812688	0.00081
1	4388885	0.74
1	4419820	0.0046
1	5076322	0.21
1	5352492	0.037
1	6117171	0.01
1	6344153	7.5e-05
1	7834026	2.8e-10
1	7854998	0.00013
1	7879063	2.7e-10
1	7886424	8.9e-10
1	7889941	2.8e-10
1	7906008	4.5e-10
1	8268715	0.029
1	9412787	0.79
1	10606996	0.0006
1	10616484	0.00094
1	12663304	5.9e-05
1	12670396	0.0084
1	14144694	0.0046
1	14223723	0.18
1	14315684	0.12
1	15726791	0.00016
1	15815579	0.0034
1	16087824	0.04
1	18359901	0.14
1	18894432	0.0084
1	19261241	0.082
1	20293055	0.00069
1	21548068	0.75
1	22576327	0.00026
1	23504795	0.15
1	23862653	0.0013
1	24472083	0.034
1	26905567	0.00045
1	27202427	0.011
1	28437824	0.0047
1	29516090	0.57
1	30739299	0.047
1	32093561	0.0089
1	34222324	0.00027
1	34227380	0.00064
1	34232225	0.002
1	34238283	0.0015
1	34241638	0.00095
1	34936568	0.78
1	36326196	0.2
1	36757801	4.4e-05
1	37818205	0.035
1	38531745	0.097
1	40594472	0.0021
1	41105910	0.00038
1	41120499	0.00093
1	41953745	0.31
1	42073905	0.88
1	44230885	0.036
1	45096760	0.0063
1	45146408	0.046
1	47002889	0.45
1	50514553	0.036
1	50735395	0.00057
1	50871847	0.0038
1	51017469	0.05
1	51180660	0.00087
1	53453714	0.014
1	53868891	0.21
1	55205199	0.03
1	56048895	0.0065
1	56077079	0.0036
1	56291878	0.076
1	58141173	8.1e-05
1	58160124	6.4e-05
1	58162370	4.3e-05
1	58202297	0.67
1	58826547	0.15
1	59395523	0.00096
1	62433100	0.22
1	62759707	0.013
1	62921586	5.9e-05
1	63028198	0.074
1	63177365	2.6e-05
1	63179138	2.7e-05
1	63698424	0.00045
1	64405242	0.019
1	64549091	0.38
1	65515753	3.4e-07
1	67451602	0.0026
1	67458463	2.2e-15
1	67526029	1.8e-08
1	67528006	3e-08
1	67593819	9.7e-06
1	67597119	1.1e-07
1	67599657	1.5e-24
1	67601115	2.8e-07
1	67605134	1.2e-25
1	67609446	3.2e-08
1	67611613	3.3e-21
1	67611799	2.5e-08
1	67615487	1.3e-26
1	67618678	1.5e-26
1	67627260	2.7e-08
1	67631262	1.8e-08
1	67631333	3.6e-09
1	67631706	9e-07
1	67633812	3.8e-08
1	67636652	3.4e-07
1	67642223	1.3e-09
1	67648460	1.6e-06
1	67651733	5e-07
1	67652984	2.3e-08
1	67653010	9.9e-26
1	67654110	7.4e-09
1	67655147	5.6e-26
1	67655895	4.2e-09
1	67655954	1.4e-26
1	67657982	8.5e-07
1	67659421	1.2e-06
1	67659896	1.6e-06
1	67667291	1.2e-20
1	67670213	1.1e-46
1	67672765	6.9e-48
1	67675516	2.3e-48
1	67681669	1.6e-53
1	67685443	3.1e-35
1	67688349	1.2e-35
1	67694202	2.1e-41
1	67701765	4e-08
1	67702526	5.1e-57
1	67704107	2.7e-07
1	67704863	4.9e-07
1	67705574	1.1e-06
1	67705958	9.9e-65
1	67708670	1e-06
1	67719129	7.8e-39
1	67719911	9.4e-07
1	67721097	7.9e-37
1	67725120	1.4e-41
1	67738359	2e-08
1	67740092	2.3e-30
1	67744601	1.5e-22
1	67747023	1.1e-26
1	67747415	1.2e-29
1	67750474	1.6e-29
1	67751193	3.8e-22
1	67753508	1.6e-22
1	67760140	1e-20
1	67791736	2.8e-06
1	67814440	3.7e-06
1	67820194	9.4e-06
1	67822377	2.5e-06
1	67896672	1.9e-07
1	67896959	1.4e-07
