ensg	symbol	chr	start	end	strand	status	type	entrezID	HUGO	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	minGwasP	leadSNPs	interval
ENSG00000049246	PER3	1	7844380	7905237	1	KNOWN	protein_coding	8863	PER3	1	12.65	0	NA	NA	NA	NA	2.8e-10	rs2797685	1
ENSG00000116704	SLC35D1	1	67465015	67519782	-1	KNOWN	protein_coding	23169	SLC35D1	0	0	1	2.50418307730794e-07	0.00033387446	Whole_Blood	+	NA	rs12061545	2
ENSG00000162594	IL23R	1	67632083	67725662	1	KNOWN	protein_coding	149233	IL23R	2	32	0	NA	NA	NA	NA	9.9e-65	rs12041056:rs11209018:rs11209026	2
ENSG00000169231	THBS3	1	155165379	155178842	-1	KNOWN	protein_coding	7059	THBS3	0	0	227	2.17654643420464e-16	0.00033387446	Whole_Blood:Colon_Transverse	+	1.3e-09	rs1142287:rs821551:rs867549	4
ENSG00000177628	GBA	1	155204243	155214490	-1	KNOWN	protein_coding	2629	GBA	0	0	248	4.04997443541206e-17	0.00033387446	Whole_Blood:Colon_Transverse	+	1.3e-09	rs1142287:rs821551:rs867549	4
ENSG00000132718	SYT11	1	155829300	155854990	1	KNOWN	protein_coding	23208	SYT11	0	0	3	1.44415177700489e-05	0.047962867	Whole_Blood	-	3e-06	rs867549	4
ENSG00000143622	RIT1	1	155867599	155881195	-1	KNOWN	protein_coding	6016	RIT1	0	0	5	3.92470043905545e-07	0.010897393	Liver	-	4.1e-08	rs821551:rs867549	4
ENSG00000108094	CUL2	10	35297479	35379570	-1	KNOWN	protein_coding	8453	CUL2	1	17.44	0	NA	NA	NA	NA	NA	rs12242110	29
ENSG00000095794	CREM	10	35415719	35501886	1	KNOWN	protein_coding	1390	CREM	0	0	254	8.31571476625002e-09	0.0009416233	Cells_EBV-transformed_lymphocytes	-	1.1e-09	rs12242110	29
ENSG00000119919	NKX2-3	10	101292690	101296278	1	KNOWN	protein_coding	159296	NKX2-3	1	15.6	0	NA	NA	NA	NA	NA	rs4409764	32
ENSG00000188906	LRRK2	12	40590546	40763087	1	KNOWN	protein_coding	120892	LRRK2	1	24.7	0	NA	NA	NA	NA	NA	rs11564258	35
ENSG00000205592	MUC19	12	40787197	40964632	1	KNOWN	protein_coding	283463	MUC19	6	22.6	0	NA	NA	NA	NA	NA	rs11564258	35
ENSG00000179630	LACC1	13	44453420	44468068	1	KNOWN	protein_coding	144811	LACC1	0	0	3	5.32823132043145e-06	0.0009416233	Cells_EBV-transformed_lymphocytes	-	1.4e-10	rs3764147	36
ENSG00000188322	SBK1	16	28303840	28335170	1	KNOWN	protein_coding	388228	SBK1	0	0	10	2.57145561614397e-07	0.007831887	Colon_Transverse	+	7.4e-10	rs151181	39
ENSG00000198156	NPIPB6	16	28353876	28374829	-1	NOVEL	protein_coding	728741	NPIPB6	0	0	243	4.63215183900409e-08	0.00090001296	Whole_Blood:Colon_Transverse	+	1.1e-10	rs151181	39
ENSG00000205609	EIF3CL	16	28390900	28415200	-1	KNOWN	protein_coding	728689	EIF3CL	0	0	156	1.55780369104798e-09	0.00033387446	Cells_EBV-transformed_lymphocytes:Whole_Blood	+	1.1e-10	rs2650492:rs151181	39
ENSG00000188603	CLN3	16	28477983	28506896	-1	KNOWN	protein_coding	1201	CLN3	0	0	17	2.1844176039952e-06	0.00033387446	Whole_Blood	-	NA	rs151181	39
ENSG00000197272	IL27	16	28510683	28523372	-1	KNOWN	protein_coding	246778	IL27	1	23.5	257	5.05041635577089e-11	0.0018663867	Liver	+	1.1e-10	rs2650492:rs151181	39
ENSG00000176476	CCDC101	16	28565236	28603111	1	KNOWN	protein_coding	112869	SGF29	0	0	11	1.71024120431337e-06	0.00033387446	Whole_Blood	-	NA	rs151181	39
ENSG00000197165	SULT1A2	16	28603264	28608430	-1	KNOWN	protein_coding	6799	SULT1A2	1	26	295	9.74470537507884e-62	0.00033387446	Whole_Blood	+	1.1e-10	rs2650492:rs151181	39
ENSG00000196502	SULT1A1	16	28616903	28634946	-1	KNOWN	protein_coding	6817	SULT1A1	0	0	264	3.6416945183632e-13	0.00033387446	Whole_Blood	-	1.1e-10	rs2650492:rs151181	39
ENSG00000255524	NPIPB8	16	28648975	28670003	1	NOVEL	protein_coding	728734	NPIPB8	1	23.2	0	NA	NA	NA	NA	NA	rs151181	39
ENSG00000184110	EIF3C	16	28699879	28747051	1	KNOWN	protein_coding	8663	EIF3C	0	0	61	1.224941841961e-08	0.00033387446	Cells_EBV-transformed_lymphocytes:Whole_Blood	+	1.1e-10	rs2650492:rs151181	39
ENSG00000178952	TUFM	16	28853732	28857729	-1	KNOWN	protein_coding	7284	TUFM	0	0	295	1.15888609212837e-79	0.00033387446	Cells_EBV-transformed_lymphocytes:Whole_Blood:Colon_Sigmoid:Colon_Transverse	+	1.1e-10	rs2650492:rs151181	39
ENSG00000178188	SH2B1	16	28857921	28885526	1	KNOWN	protein_coding	25970	SH2B1	0	0	73	2.51121129975616e-07	0.00090001296	Whole_Blood	-	1.1e-10	rs151181	39
ENSG00000176953	NFATC2IP	16	28962128	28978418	1	KNOWN	protein_coding	84901	NFATC2IP	0	0	57	2.80956722139818e-06	0.0045622275	Colon_Transverse	+	4e-09	rs151181	39
ENSG00000169682	SPNS1	16	28985542	28995869	1	KNOWN	protein_coding	83985	SPNS1	0	0	282	6.11608466735512e-14	0.00033387446	Cells_EBV-transformed_lymphocytes:Whole_Blood	+	1.1e-10	rs151181	39
