ensembl_gene_id	external_gene_name	start_position	end_position	strand	gene_biotype
ENSG00000000457	SCYL3	169818772	169863408	-1	protein_coding
ENSG00000000460	C1orf112	169631245	169823221	1	protein_coding
ENSG00000000938	FGR	27938575	27961788	-1	protein_coding
ENSG00000000971	CFH	196621008	196716634	1	protein_coding
ENSG00000001460	STPG1	24683489	24743424	-1	protein_coding
ENSG00000001461	NIPAL3	24742284	24799466	1	protein_coding
ENSG00000004455	AK2	33473585	33546597	-1	protein_coding
ENSG00000004487	KDM1A	23345941	23410182	1	protein_coding
ENSG00000006555	TTC22	55245385	55266940	-1	protein_coding
ENSG00000007341	ST7L	113066140	113163447	-1	protein_coding
ENSG00000007908	SELE	169691781	169733846	-1	protein_coding
ENSG00000007923	DNAJC11	6694228	6761984	-1	protein_coding
ENSG00000007933	FMO3	171060018	171086959	1	protein_coding
ENSG00000007968	E2F2	23832922	23857712	-1	protein_coding
ENSG00000008118	CAMK1G	209757062	209787283	1	protein_coding
ENSG00000008128	CDK11A	1634169	1655766	-1	protein_coding
ENSG00000008130	NADK	1682671	1711896	-1	protein_coding
ENSG00000009307	CSDE1	115259534	115301297	-1	protein_coding
ENSG00000009709	PAX7	18957500	19075360	1	protein_coding
ENSG00000009724	MASP2	11086580	11107290	-1	protein_coding
ENSG00000009780	FAM76A	28052490	28089633	1	protein_coding
ENSG00000009790	TRAF3IP3	209929377	209955668	1	protein_coding
ENSG00000010072	SPRTN	231472850	231490769	1	protein_coding
ENSG00000010165	METTL13	171750788	171783163	1	protein_coding
ENSG00000010803	SCMH1	41492872	41707826	-1	protein_coding
ENSG00000010932	FMO1	171217638	171255117	1	protein_coding
ENSG00000011007	TCEB3	24069645	24088549	1	protein_coding
ENSG00000011009	LYPLA2	24117460	24122029	1	protein_coding
ENSG00000011021	CLCN6	11866207	11903201	1	protein_coding
ENSG00000014914	MTMR11	149900543	149908791	-1	protein_coding
ENSG00000016490	CLCA1	86934051	86965972	1	protein_coding
ENSG00000016602	CLCA4	87012761	87046437	1	protein_coding
ENSG00000018625	ATP1A2	160085549	160113381	1	protein_coding
ENSG00000020129	NCDN	36023074	36032875	1	protein_coding
ENSG00000020633	RUNX3	25226002	25291612	-1	protein_coding
ENSG00000021852	C8B	57394883	57431813	-1	protein_coding
ENSG00000023572	GLRX2	193065598	193075244	-1	protein_coding
ENSG00000023902	PLEKHO1	150121373	150136916	1	protein_coding
ENSG00000023909	GCLM	94350761	94374966	-1	protein_coding
ENSG00000024526	DEPDC1	68939835	68962904	-1	protein_coding
ENSG00000025800	KPNA6	32573639	32642169	1	protein_coding
ENSG00000026751	SLAMF7	160709037	160724611	1	protein_coding
ENSG00000027644	INSRR	156809855	156828810	-1	protein_coding
ENSG00000027869	SH2D2A	156776035	156786654	-1	protein_coding
ENSG00000028137	TNFRSF1B	12227060	12269285	1	protein_coding
ENSG00000031698	SARS	109756540	109780791	1	protein_coding
ENSG00000033122	LRRC7	70034081	70617628	1	protein_coding
ENSG00000034971	MYOC	171604557	171621823	-1	protein_coding
ENSG00000035687	ADSS	244571796	244615436	-1	protein_coding
ENSG00000036549	ZZZ3	78028101	78149104	-1	protein_coding
ENSG00000037637	FBXO42	16573334	16678949	-1	protein_coding
ENSG00000040487	PQLC2	19638820	19655794	1	protein_coding
ENSG00000041988	THAP3	6684926	6695646	1	protein_coding
ENSG00000042781	USH2A	215796236	216596738	-1	protein_coding
ENSG00000043514	TRIT1	40306723	40349183	-1	protein_coding
ENSG00000044012	GUCA2B	42619092	42621495	1	protein_coding
ENSG00000047410	TPR	186280784	186344825	-1	protein_coding
ENSG00000048707	VPS13D	12290124	12572099	1	protein_coding
ENSG00000049089	COL9A2	40766159	40783488	-1	protein_coding
