cell	start	end	state
E029	67362595	67385400	15
E029	67385400	67386400	9
E029	67386400	67389400	15
E029	67389400	67389800	7
E029	67389800	67390400	2
E029	67390400	67391200	1
E029	67391200	67391800	2
E029	67391800	67392200	7
E029	67392200	67395000	5
E029	67395000	67395600	2
E029	67395600	67396800	1
E029	67396800	67397800	2
E029	67397800	67399800	5
E029	67399800	67400000	1
E029	67400000	67400200	2
E029	67400200	67400600	7
E029	67400600	67402800	5
E029	67402800	67403400	7
E029	67403400	67403800	5
E029	67403800	67405000	7
E029	67405000	67406200	5
E029	67406200	67412600	4
E029	67412600	67413400	6
E029	67413400	67447000	4
E029	67447000	67447400	6
E029	67447400	67455400	4
E029	67455400	67468800	5
E029	67468800	67470800	4
E029	67470800	67483800	5
E029	67483800	67487200	4
E029	67487200	67502200	5
E029	67502200	67515600	4
E029	67515600	67518000	5
E029	67518000	67518400	7
E029	67518400	67519200	2
E029	67519200	67520200	1
E029	67520200	67520400	2
E029	67520400	67532200	15
E029	67532200	67535800	9
E029	67535800	67553000	15
E029	67553000	67553800	9
E029	67553800	67578000	15
E029	67578000	67581000	9
E029	67581000	67600200	15
E029	67600200	67600400	7
E029	67600400	67600800	2
E029	67600800	67601200	7
E029	67601200	67614800	15
E029	67614800	67615200	7
E029	67615200	67633400	15
E029	67633400	67637400	14
E029	67637400	67640400	15
E029	67640400	67641200	9
E029	67641200	67647800	15
E029	67647800	67648600	9
E029	67648600	67713000	15
E029	67713000	67717200	9
E029	67717200	67737400	15
E029	67737400	67739800	9
E029	67739800	67750600	15
E029	67750600	67751600	9
E029	67751600	67755800	15
E029	67755800	67759200	9
E029	67759200	67766926	15
E030	67362595	67382800	15
E030	67382800	67383600	9
E030	67383600	67389400	15
E030	67389400	67389600	7
E030	67389600	67390400	2
E030	67390400	67391000	1
E030	67391000	67392000	2
E030	67392000	67395000	7
E030	67395000	67395600	2
E030	67395600	67396800	1
E030	67396800	67397800	2
E030	67397800	67401600	7
E030	67401600	67402800	5
E030	67402800	67405400	7
E030	67405400	67406600	5
E030	67406600	67406800	6
