pos	gwasP	logP	ld	r2
197342686	NA	0	1	0.764051
197342725	7.8e-07	6.10790539730952	1	0.777225
197343295	NA	0	1	0.774185
197343296	NA	0	1	0.777225
197343763	6.2e-07	6.20760831050175	1	0.796741
197344461	6.2e-07	6.20760831050175	1	0.792551
197346913	NA	0	1	0.792551
197347299	NA	0	1	0.788412
197347920	NA	0	1	0.780203
197348760	NA	0	1	0.784297
197349193	NA	0	1	0.793481
197350704	NA	0	1	0.79343
197352266	NA	0	1	0.797601
197355817	NA	0	1	0.797601
197361571	NA	0	1	0.797685
197363075	NA	0	1	0.793592
197363948	4.1e-07	6.38721614328026	1	0.805939
197368281	4.2e-07	6.3767507096021	1	0.797685
197372198	NA	0	1	0.805939
197372250	3.4e-07	6.46852108295774	1	0.805939
197372437	3.3e-07	6.48148606012211	1	0.805939
197374175	NA	0	1	0.801743
197374538	NA	0	1	0.797601
197374762	NA	0	1	0.805939
197374815	NA	0	1	0.801801
197375307	NA	0	1	0.801801
197375467	NA	0	1	0.797685
197375710	NA	0	1	0.797685
197376021	NA	0	1	0.797685
197376144	NA	0	1	0.805939
197376710	NA	0	1	0.805939
197377143	NA	0	1	0.801801
197381941	NA	0	1	0.801801
197382056	3.2e-07	6.49485002168009	1	0.801801
197382342	NA	0	1	0.805939
197383644	NA	0	1	0.805939
197387956	NA	0	1	0.821941
197388076	NA	0	1	0.817724
197388125	NA	0	1	0.821941
197388558	NA	0	1	0.821941
197389475	NA	0	1	0.817724
197392891	NA	0	1	0.826181
197422905	NA	0	1	0.831212
197463742	NA	0	1	0.821569
197480927	NA	0	1	0.838572
197490942	NA	0	1	0.791078
197515981	NA	0	1	0.838046
197552034	NA	0	1	0.850018
197566842	1.7e-08	7.76955107862173	1	0.838046
197574134	NA	0	1	0.922829
197582780	NA	0	1	0.927219
197615130	NA	0	1	0.922829
197622528	NA	0	1	0.918275
197628029	NA	0	1	0.922829
197674344	NA	0	1	0.935812
197689967	1.8e-08	7.74472749489669	1	0.931634
197693782	NA	0	1	0.922829
197700895	NA	0	1	0.967617
197714774	NA	0	1	0.972147
197727642	4.9e-09	8.30980391997149	2	1
197784249	NA	0	1	0.819682
