gene	symbol	tissue	pos	logP
ENSG00000160785	SLC25A44	Adipose_Subcutaneous	156156094	7.84549386261185
ENSG00000160785	SLC25A44	Adipose_Subcutaneous	156156219	7.91570977146307
ENSG00000160785	SLC25A44	Adipose_Subcutaneous	156159064	7.8433690854378
ENSG00000160785	SLC25A44	Adipose_Subcutaneous	156159909	7.92888420423343
ENSG00000160785	SLC25A44	Adipose_Subcutaneous	156160822	7.84023134567315
ENSG00000160785	SLC25A44	Adipose_Subcutaneous	156163906	7.82859829188963
ENSG00000160785	SLC25A44	Adipose_Subcutaneous	156165881	7.90586092083656
ENSG00000160785	SLC25A44	Adipose_Subcutaneous	156173082	7.80900755634885
ENSG00000160785	SLC25A44	Adipose_Subcutaneous	156174930	7.90913908091698
ENSG00000160785	SLC25A44	Adipose_Subcutaneous	156177285	7.92067039534754
ENSG00000160785	SLC25A44	Adipose_Subcutaneous	156190280	7.69799393941346
ENSG00000160785	SLC25A44	Adipose_Subcutaneous	156192028	7.4044696091406
ENSG00000160785	SLC25A44	Adipose_Subcutaneous	156195682	7.64603763134647
ENSG00000160785	SLC25A44	Artery_Tibial	156156094	8.58188440097599
ENSG00000160785	SLC25A44	Artery_Tibial	156156219	8.71527607536384
ENSG00000160785	SLC25A44	Artery_Tibial	156159064	8.53675968913946
ENSG00000160785	SLC25A44	Artery_Tibial	156159909	8.79664341758515
ENSG00000160785	SLC25A44	Artery_Tibial	156160822	8.51689504479048
ENSG00000160785	SLC25A44	Artery_Tibial	156161682	8.38898020268197
ENSG00000160785	SLC25A44	Artery_Tibial	156163906	8.48064592122483
ENSG00000160785	SLC25A44	Artery_Tibial	156165881	8.75219606788487
ENSG00000160785	SLC25A44	Artery_Tibial	156173082	8.4799162283147
ENSG00000160785	SLC25A44	Artery_Tibial	156174930	8.72010501998836
ENSG00000160785	SLC25A44	Artery_Tibial	156177285	8.17601027068674
ENSG00000160785	SLC25A44	Artery_Tibial	156190280	8.26400131830659
ENSG00000160785	SLC25A44	Artery_Tibial	156192028	8.11646120648561
ENSG00000160785	SLC25A44	Artery_Tibial	156195682	8.21231782975498
ENSG00000160785	SLC25A44	Cells_Transformed_fibroblasts	156156951	7.47348626433661
ENSG00000160785	SLC25A44	Cells_Transformed_fibroblasts	156159532	7.74236701644729
ENSG00000160785	SLC25A44	Cells_Transformed_fibroblasts	156162559	7.44780891826419
ENSG00000160785	SLC25A44	Cells_Transformed_fibroblasts	156165290	7.3737263733116
ENSG00000160785	SLC25A44	Cells_Transformed_fibroblasts	156165317	7.3737263733116
ENSG00000160785	SLC25A44	Cells_Transformed_fibroblasts	156165342	7.37350257578901
