Interval	leadSNP	chr	bp	snp	DateAddedToCatalog	PMID	FirstAuth	Date	Journal	Link	Study	Trait	InitialN	ReplicationN	Region	ReportedGene	MappedGene	UpGene	DownGene	SNP_Gene_ID	UpGeneDist	DownGeneDist	Strongest	SNPs	marged	SNP_ID_cur	Context	intergenic	RiskAF	P	Pmlog	Ptext	OrBeta	95CI	Platform	CNV
1	rs2797685	1	7879063	rs2797685	2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	1p36.23	VAMP3	PER3			8863			rs2797685-A	rs2797685	0	2797685	intron_variant	0	0.19	7E-9	8.154901959985743		1.05	[1.01-1.10]	Affymetrix, Illumina [953241] (imputed)	N
2	rs10889657	1	67635950	rs2295359	2016-02-10	25903422	Yin X	2015-04-23	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/25903422	Genome-wide meta-analysis identifies multiple novel associations and ethnic heterogeneity of psoriasis susceptibility.	Psoriasis	3,496 European ancestry cases, 5,186 European ancestry controls, 1,588 Chinese ancestry cases, 3,546 Chinese ancestry controls	5,134 European ancestry cases, 5,633 European ancestry controls, 5,151 Chinese ancestry cases, 5,152 Chinese ancestry controls	1p31.3	IL23R	IL23R			149233			rs2295359-A	rs2295359	0	2295359	intron_variant	0	0.344	8E-8	7.096910013008056	(EA, conditional on rs12564022)	1.15	[1.09-1.21]	Illumina [up to 4778154] (imputed)	N
2	rs7517847	1	67669634	rs11580078	2016-08-31	26301688	Li YR	2015-08-24	Nat Med	www.ncbi.nlm.nih.gov/pubmed/26301688	Meta-analysis of shared genetic architecture across ten pediatric autoimmune diseases.	Pediatric autoimmune diseases	97 European ancestry thyroiditis cases, 107 European ancestry ankylosing spondylitis cases, 100 European ancestry psoriasis cases, 173 European ancestry celiac disease cases, 254 European ancestry systemic lupus erythematosus cases, 308 European ancestry common variable inmunodeficiency cases, 865 European ancestry ulcerative colitis cases, 1,086 European ancestry Type 1 diabetes cases, 1,123  European ancestry juvenile idiopathic arthritis cases, 1,922  European ancestry Crohn's disease cases, 10,718 European ancestry controls	NA	1p31.3	IL23R	IL23R			149233			rs11580078-G	rs11580078		11580078	intron_variant	0	0.43	8E-11	10.096910013008056				Illumina [7347414] (imputed)	N
2	rs11805303	1	67670755	rs12564022	2016-02-10	25903422	Yin X	2015-04-23	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/25903422	Genome-wide meta-analysis identifies multiple novel associations and ethnic heterogeneity of psoriasis susceptibility.	Psoriasis	3,496 European ancestry cases, 5,186 European ancestry controls, 1,588 Chinese ancestry cases, 3,546 Chinese ancestry controls	5,134 European ancestry cases, 5,633 European ancestry controls, 5,151 Chinese ancestry cases, 5,152 Chinese ancestry controls	1p31.3	IL23R	IL23R			149233			rs12564022-T	rs12564022	0	12564022	intron_variant	0	0.275	2E-9	8.698970004336019	(EA)	1.17	[1.11-1.23]	Illumina [up to 4778154] (imputed)	N
2	rs11805303	1	67675516	rs11805303	2008-06-16	17554300	WTCCC	2007-06-07	Nature	www.ncbi.nlm.nih.gov/pubmed/17554300	Genome-wide association study of 14,000 cases of seven common diseases and 3,000 shared controls.	Crohn's disease	1,748 European ancestry cases, 2,938 European ancestry controls	(see Parkes 2007)	1p31.3	IL23R	IL23R			149233			rs11805303-T	rs11805303	0	11805303	intron_variant	0	0.32	6E-12	11.221848749616356		1.39	[1.22-1.58]	Affymetrix [469557]	N
2	rs7517847	1	67681669	rs7517847	2008-06-16	17435756	Rioux JD	2007-04-15	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/17435756	Genome-wide association study identifies new susceptibility loci for Crohn disease and implicates autophagy in disease pathogenesis.	Crohn's disease	946 cases, 977 controls	530 trios, 353 cases, 207 controls	1p31.3	IL23R	IL23R			149233			rs7517847-?	rs7517847	0	7517847	intron_variant	0	0.40	3E-12	11.522878745280337				Illumina [304413]	N
2	rs7517847	1	67681669	rs7517847	2014-11-15	24823311	Guan W	2014-05-13	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/24823311	Genome-wide association study of plasma N6 polyunsaturated fatty acids within the cohorts for heart and aging research in genomic epidemiology consortium.	Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid)	8,631 European ancestry individuals	NA	1p31.3	IL23R	IL23R			149233			rs7517847-T	rs7517847	0	7517847	intron_variant	0	0.578	4E-6	5.3979400086720375		0.19	[NR] unit increase	Affymetrix, Illumina [~ 2500000] (imputed)	N
2	rs7517847	1	67681669	rs7517847	2016-07-24	26192919	Liu JZ	2015-07-20	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/26192919	Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.	Crohn's disease	5,956 European ancestry cases, 14,927 European ancestry controls	14,594 European ancestry cases, 26,715 European ancestry controls, 151 Iranian ancestry cases, 342 Iranian ancestry controls, 184 Indian ancestry cases, 990 Indian ancestry controls, 1,690 East Asian ancestry cases, 3,719 East Asian ancestry controls	1p31.3	NR	IL23R			149233			rs7517847-C	rs7517847	0	7517847	intron_variant	0	0.56	1E-159	159.0	(EA)	1.3990791		Affymetrix, Illumina [~ 9000000] (imputed)	N
2	rs11805303	1	67694202	rs2201841	2009-02-06	19169254	Nair RP	2009-01-25	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19169254	Genome-wide scan reveals association of psoriasis with IL-23 and NF-kappaB pathways.	Psoriasis	1,359 European ancestry cases, 1,400 European ancestry controls	5,048 European ancestry cases, 5,041 European ancestry controls	1p31.3	IL23R	IL23R			149233			rs2201841-G	rs2201841	0	2201841	intron_variant	0	0.30	3E-8	7.522878745280337		1.13	[NR]	Perlegen [~ 2500000] (imputed)	N
2	rs11805303	1	67694202	rs2201841	2010-04-02	20228799	McGovern DP	2010-03-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20228799	Genome-wide association identifies multiple ulcerative colitis susceptibility loci.	Ulcerative colitis	2,693 European ancestry cases, 6,791 European ancestry controls	2,009 European ancestry cases, 1,580 European ancestry controls	1p31.3	IL23R	IL23R			149233			rs2201841-C	rs2201841	0	2201841	intron_variant	0	NR	1E-13	13.0		1.16	[NR]	Illumina [266047]	N
